"Per Pupil Expenditures by Function (District), 2017-18"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$7,366,261",1062,1,"$6,936"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,229,085",1062,2,"$1,157"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$341,477",1062,2,"$322"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1062,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$1,923,451",1062,2,"$1,811"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,196,989",1062,2,"$1,127"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$602,663",1062,2,"$567"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$158,239",69,3,"$2,293"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1062,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1062,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","$89,745",1062,2,"$85"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$12,907,910",1062,1,"$12,154"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,605,935",1149,1,"$8,360"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,621,609",1149,2,"$1,411"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$579,468",1149,2,"$504"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",1149,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$3,135,468",1149,2,"$2,729"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,987,962",1149,2,"$1,730"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$19,266",1149,2,"$17"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$10,241",20,3,"$512"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",1149,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",1149,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","$0",1149,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,959,949",1149,1,"$14,761"
"Amistad Academy District","=""2790013""","Instruction","$7,416,673",1081,1,"$6,861"
"Amistad Academy District","=""2790013""","Support services - students","$1,120,036",1081,2,"$1,036"
"Amistad Academy District","=""2790013""","Support services - instruction","$334,019",1081,2,"$309"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1081,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,302,393",1081,2,"$2,130"
"Amistad Academy District","=""2790013""","Central and other support services","$1,238,707",1081,2,"$1,146"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$625,024",1081,2,"$578"
"Amistad Academy District","=""2790013""","Student transportation services","$197,543",78,3,"$2,533"
"Amistad Academy District","=""2790013""","Food services","$0",1081,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1081,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","$0",1081,2,"$0"
"Amistad Academy District","=""2790013""","Total","$13,234,394",1081,1,"$12,243"
"Andover School District","=""0010011""","Instruction","$2,623,858",211,1,"$12,435"
"Andover School District","=""0010011""","Support services - students","$166,152",204,2,"$814"
"Andover School District","=""0010011""","Support services - instruction","$316,720",204,2,"$1,553"
"Andover School District","=""0010011""","Support services - general administration","$141,221",204,2,"$692"
"Andover School District","=""0010011""","Support services - school based administration","$260,820",204,2,"$1,279"
"Andover School District","=""0010011""","Central and other support services","$174,881",204,2,"$857"
"Andover School District","=""0010011""","Operation and maintenance of plant","$639,257",204,2,"$3,134"
"Andover School District","=""0010011""","Student transportation services","$127,932",179,3,"$715"
"Andover School District","=""0010011""","Food services","$0",204,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$24,784",204,2,"$121"
"Andover School District","=""0010011""","Minor school construction","$0",204,2,"$0"
"Andover School District","=""0010011""","Total","$4,475,625",211,1,"$21,211"
"Ansonia School District","=""0020011""","Instruction","$27,300,543",2522,1,"$10,825"
"Ansonia School District","=""0020011""","Support services - students","$385,371",2283,2,"$169"
"Ansonia School District","=""0020011""","Support services - instruction","$74,369",2283,2,"$33"
"Ansonia School District","=""0020011""","Support services - general administration","$579,810",2283,2,"$254"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,395,578",2283,2,"$1,049"
"Ansonia School District","=""0020011""","Central and other support services","$2,878,052",2283,2,"$1,261"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$2,886,760",2283,2,"$1,264"
"Ansonia School District","=""0020011""","Student transportation services","$2,302,337",2423,3,"$950"
"Ansonia School District","=""0020011""","Food services","$0",2283,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$115,958",2283,2,"$51"
"Ansonia School District","=""0020011""","Minor school construction","$0",2283,2,"$0"
"Ansonia School District","=""0020011""","Total","$38,918,779",2522,1,"$15,432"
"Area Cooperative Educational Services","=""2440014""","Instruction","$50,007,488",2252,1,"$22,206"
