"Per Pupil Expenditures by Object (District), 2017-18"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$7,589,980",1062,2,"$7,147"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,455,073",1062,2,"$1,370"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$3,478,211",1062,2,"$3,275"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$186,849",1062,2,"$176"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$178,743",1062,2,"$168"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$19,054",1062,2,"$18"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$12,907,910",1062,1,"$12,154"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,982,806",1149,2,"$9,559"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,981,733",1149,2,"$1,725"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$3,434,825",1149,2,"$2,989"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$254,690",1149,2,"$222"
"Achievement First Hartford Academy District","=""2880013""","Property","$283,646",1149,2,"$247"
"Achievement First Hartford Academy District","=""2880013""","Other","$22,249",1149,2,"$19"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,959,949",1149,1,"$14,761"
"Amistad Academy District","=""2790013""","Salaries","$7,806,234",1081,2,"$7,221"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,546,468",1081,2,"$1,431"
"Amistad Academy District","=""2790013""","Purchased Services","$3,506,871",1081,2,"$3,244"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$199,492",1081,2,"$185"
"Amistad Academy District","=""2790013""","Property","$147,584",1081,2,"$137"
"Amistad Academy District","=""2790013""","Other","$27,746",1081,2,"$26"
"Amistad Academy District","=""2790013""","Total","$13,234,394",1081,1,"$12,243"
"Andover School District","=""0010011""","Salaries","$2,555,176",204,2,"$12,525"
"Andover School District","=""0010011""","Employee Benefits","$798,921",204,2,"$3,916"
"Andover School District","=""0010011""","Purchased Services","$695,066",204,2,"$3,407"
"Andover School District","=""0010011""","Tuition","$40,422",7,4,"$5,775"
"Andover School District","=""0010011""","Supplies","$297,180",204,2,"$1,457"
"Andover School District","=""0010011""","Property","$75,241",204,2,"$369"
"Andover School District","=""0010011""","Other","$13,621",204,2,"$67"
"Andover School District","=""0010011""","Total","$4,475,625",211,1,"$21,211"
"Ansonia School District","=""0020011""","Salaries","$18,279,889",2283,2,"$8,007"
"Ansonia School District","=""0020011""","Employee Benefits","$4,697,595",2283,2,"$2,058"
"Ansonia School District","=""0020011""","Purchased Services","$6,815,200",2283,2,"$2,985"
"Ansonia School District","=""0020011""","Tuition","$5,622,327",239,4,"$23,524"
"Ansonia School District","=""0020011""","Supplies","$1,252,816",2283,2,"$549"
"Ansonia School District","=""0020011""","Property","$920,578",2283,2,"$403"
"Ansonia School District","=""0020011""","Other","$1,330,374",2283,2,"$583"
"Ansonia School District","=""0020011""","Total","$38,918,779",2522,1,"$15,432"
"Area Cooperative Educational Services","=""2440014""","Salaries","$46,901,334",2252,2,"$20,827"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$10,355,711",2252,2,"$4,598"
"Area Cooperative Educational Services","=""2440014""","Purchased Services","$10,467,384",2252,2,"$4,648"
"Area Cooperative Educational Services","=""2440014""","Tuition","$570,625",0,4,"$570,625"
"Area Cooperative Educational Services","=""2440014""","Supplies","$2,629,384",2252,2,"$1,168"
"Area Cooperative Educational Services","=""2440014""","Property","$500,475",2252,2,"$222"
"Area Cooperative Educational Services","=""2440014""","Other","$45,429",2252,2,"$20"
"Area Cooperative Educational Services","=""2440014""","Total","$71,470,343",2252,1,"$31,736"
"Ashford School District","=""0030011""","Salaries","$4,958,318",394,2,"$12,585"
"Ashford School District","=""0030011""","Employee Benefits","$1,585,401",394,2,"$4,024"
"Ashford School District","=""0030011""","Purchased Services","$474,125",394,2,"$1,203"
"Ashford School District","=""0030011""","Tuition","$302,874",7,4,"$43,268"
"Ashford School District","=""0030011""","Supplies","$368,687",394,2,"$936"
"Ashford School District","=""0030011""","Property","$106,997",394,2,"$272"
"Ashford School District","=""0030011""","Other","$28,019",394,2,"$71"
"Ashford School District","=""0030011""","Total","$7,824,422",401,1,"$19,512"
"Avon School District","=""0040011""","Salaries","$34,771,973",3208,2,"$10,839"
